ID,title,description,tag,image,path,genre,mood,distributor,branded-vod,k_means,k_genre,GenreType,Language,Local
0,Smoke & Mirrors ,The true story of a man who fooled an entire country. The spy Francisco Paesa returns to Spain after being exiled and is determined to get his revenge against the Spanish government which betrayed him. Spanish with English subtitles.,"genre:drama/crime-thriller,genre:drama,genre:drama/foreign-language-subtitled,genre:movie,genre:drama/real-life-stories,mood:thrilling,mood:mysterious,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/MhrLUONfOqGlArUZ6oytz/96433b63b21ce5d9cbf3498744225663/Filmstream_SmokeandMirrors_showtile.png.96433b63b21ce5d9cbf3498744225663.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/smoke-and-mirrors.html,"crime-thriller, drama, foreign-language-subtitled, movie, real-life-stories","thrilling, mysterious",rialto,filmstream,3,0,Thriller,Spanish,0
1,Dede ,A young woman living in a remote mountain village defies her family and centuries of tradition when she falls in love with the wrong man. Georgian and Svan with English subtitles.,"genre:drama,genre:drama/foreign-language-subtitled,genre:movie,genre:drama/real-life-stories,mood:revealing,mood:all-the-feels,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6jP4TT9VgCHH6CnXDnnLkv/ccf1af17c801b946feb98efe722ef832/FilmStream_Dede_showtile.png.ccf1af17c801b946feb98efe722ef832.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/dede.html,"drama, foreign-language-subtitled, movie, real-life-stories","revealing, all-the-feels",rialto,filmstream,3,1,Drama,English,0
2,The Soul of Flies ,"A tale of two brothers who meet for the first time on the way to their father's funeral, who they never knew. A surreal journey where memory and dreams collide ensues. Spanish with English subtitles.","genre:movie,genre:drama/foreign-language-subtitled,genre:comedy,mood:quirky,mood:irreverent,mood:cheeky,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2mTZF72Iul5hMBZAxBFdqQ/78c0abd1e87aa967638fcdce0f9d6f50/TheSoulOfFlies_showtile-min.png.78c0abd1e87aa967638fcdce0f9d6f50.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-soul-of-flies.html,"movie, foreign-language-subtitled, comedy","quirky, irreverent, cheeky",rialto,filmstream,3,1,Drama,Spanish,0
3,The Unauthorised Melrose Place Story ,"Discover the drama that went on behind the cameras of the 1990s hit series, Melrose Place, from the arrival of Heather Locklear to the actors begging writers for even wilder storylines to make them fan favourites.","genre:movie,genre:closed-captions,genre:drama,genre:drama/real-life-stories,genre:drama/soap,mood:nostalgic,mood:all-the-feels,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6ktrxJxbgdOxyW1g1vroYY/9222cbbefa711758906d66fbfeb0cc8c/Lifetime_TheUnauthorizedMelrosePlaceStory_showtile_3.png.9222cbbefa711758906d66fbfeb0cc8c.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/the-unauthorised-melrose-place-story.html,"movie, closed-captions, drama, real-life-stories, soap","nostalgic, all-the-feels",a-e,lifetime,5,2,Real Life Story,English,0
4,Stolen By My Mother: The Kamiyah Mobley Story ,"Based on the true story, an 18-year-old girl from Florida discovers she was abducted as a baby and grew up believing her kidnappers were her family.","genre:movie,genre:drama,genre:drama/real-life-stories,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/2LJcL9FM6aNGrN3q5VRav9/527f9d9b40f2b2644c825859deb6098d/Lifetime_StolenByMyMother_showtile.png.527f9d9b40f2b2644c825859deb6098d.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/stolen-by-my-mother-the-kamiyah-mobley-story.html,"movie, drama, real-life-stories",diverse,a-e,lifetime,2,2,Real Life Story,English,0
5,Circle of Deception ,"A small, island community is turned upside down when a local businessman is found dead, leading to an investigation that twists and turns its way through neighbours, ex-wives, and best friends. Based on Ann Rule’s true crime book Practice to Deceive.","genre:drama/crime-thriller,genre:drama,genre:movie,genre:drama/real-life-stories,mood:mysterious,mood:thrilling,mood:psychological,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/jviQkZDiOrpJXwJioYdVj/335cbf4e6905b82d4c29b12e8261c19d/AnnRulesCircleofDeception_showtile.png.335cbf4e6905b82d4c29b12e8261c19d.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/circle-of-deception.html,"crime-thriller, drama, movie, real-life-stories","mysterious, thrilling, psychological",a-e,lifetime,2,0,Thriller,English,0
6,Mammuth ,Gérard Depardieu stars in this comedy drama about a retiree who is forced to go on a road-trip through France on a motorcycle to retrieve the documents he needs to obtain his rightfully due pension. French with English subtitles.,"genre:comedy,genre:drama,genre:drama/foreign-language-subtitled,genre:movie,mood:irreverent,mood:quirky,channel:tvnz-online,distributor:rialto,branded-vod:filmstream",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/L2KCYYasa46LMyTMXYkSE/d6c2a1d93e914fda83621418a6264ffe/Filmstream_Mammuth_showtile.png.d6c2a1d93e914fda83621418a6264ffe.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/mammuth.html,"comedy, drama, foreign-language-subtitled, movie","irreverent, quirky",rialto,filmstream,4,1,Drama,French,0
7,Heaven ,"In the first of V.C. Andrews' Casteel family series, the siblings are torn apart when their drunkard father sends them away one by one. Eldest daughter Heaven finds both torment and solace in her new home.","genre:drama,genre:movie,mood:all-the-feels,mood:mysterious,mood:dark,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/4X6q4jhGiHUr4ALdKzZYkY/9bd954b8cd72d6a1dd8798dd069d6bee/Lifetime_VCAndrewsHeaven_showtile.png.9bd954b8cd72d6a1dd8798dd069d6bee.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/heaven.html,"drama, movie","all-the-feels, mysterious, dark",a-e,lifetime,5,3,Romance,English,0
8,Harry And Meghan: Escaping The Palace ,"Explore what really happened inside the palace that drove Harry and Meghan to leave the Royal family behind. From tumultuous family relationships to a growing sense of isolation, the young couple fight to prevent history from repeating itself.","genre:movie,genre:drama,mood:revealing,mood:all-the-feels,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/106YDXTB1dW3dZBsjOwdCl/3e341879ac98d008d01a7cd06bf41cc9/Lifetime_Harry_and_Meghan_Escaping_The_Palace_showtile.png.3e341879ac98d008d01a7cd06bf41cc9.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/harry-and-meghan-escaping-the-palace.html,"movie, drama","revealing, all-the-feels",a-e,lifetime,4,3,Romance,English,0
9,Escaping the Madhouse: The Nellie Bly Story ,"Based on the true events, investigative reporter Nellie Bly (Christina Ricci) feigns mental illness in order to report from the inside of a notorious and ruthless Women's Asylum, run by Matron Grady (Judith Light).","genre:drama,genre:movie,mood:dark,mood:gritty,mood:psychological,channel:tvnz-online,distributor:a-e,branded-vod:lifetime",https://play-images-prod-ctf.tech.tvnz.co.nz/api/v1/web/image/6h6GoFxyP97AnvEs3UMfSU/122a30ef8ebbc75e25fd87804a20995d/Lifetime_Escaping_The_Madhouse__The_Nellie_Bly_Story_showtile.png.122a30ef8ebbc75e25fd87804a20995d.jpg?width=1200&height=630,/Users/xutingxuan/Desktop/MSc ADS/B3_Personalisation media/Assignment 1/TVNZ/movies/escaping-the-madhouse-the-nellie-bly-story.html,"drama, movie","dark, gritty, psychological",a-e,lifetime,2,4,Mystery,English,0
